category,item_price_brl,avg_review_score
computers_accessories,394.9,4.0
fashion_underwear_beach,49.9,5.0
furniture_decor,89.18,5.0
telephony,29.99,4.0
health_beauty,58.99,5.0
computers_accessories,98.44,1.0
watches_gifts,219.9,4.0
telephony,759.0,5.0
sports_leisure,65.9,5.0
furniture_decor,10.9,5.0
furniture_decor,83.9,1.0
bed_bath_table,17.9,5.0
baby,99.2,5.0
housewares,160.0,5.0
sports_leisure,29.9,5.0
health_beauty,13.99,5.0
christmas_supplies,35.0,3.0
health_beauty,535.9,4.0
furniture_decor,69.9,4.0
health_beauty,589.9,4.0
unknown,27.3,5.0
watches_gifts,235.99,2.0
housewares,19.9,1.0
furniture_decor,25.99,1.0
perfumery,18.5,5.0
stationery,49.9,5.0
stationery,49.9,5.0
health_beauty,84.99,5.0
cool_stuff,199.0,4.0
bed_bath_table,109.9,3.0
fashion_bags_accessories,29.99,5.0
housewares,59.9,5.0
housewares,42.9,1.0
watches_gifts,43.0,5.0
sports_leisure,12.5,4.0
sports_leisure,12.5,4.0
bed_bath_table,179.9,3.0
office_furniture,119.99,3.0
office_furniture,149.99,3.0
musical_instruments,59.9,4.0
bed_bath_table,69.99,5.0
office_furniture,129.6,1.0
furniture_decor,31.8,4.0
furniture_decor,31.8,4.0
bed_bath_table,129.9,1.0
bed_bath_table,99.9,4.0
perfumery,125.9,5.0
watches_gifts,146.0,5.0
health_beauty,39.49,5.0
health_beauty,39.49,5.0
bed_bath_table,54.99,5.0
health_beauty,89.99,1.0
sports_leisure,129.9,5.0
health_beauty,69.9,5.0
computers_accessories,80.9,5.0
computers_accessories,80.9,5.0
health_beauty,110.32,5.0
sports_leisure,91.99,5.0
sports_leisure,91.99,5.0
sports_leisure,91.99,5.0
housewares,25.0,5.0
luggage_accessories,259.9,5.0
stationery,39.0,5.0
sports_leisure,104.9,1.0
health_beauty,110.32,1.0
perfumery,7.0,2.0
garden_tools,49.9,1.0
health_beauty,126.99,5.0
telephony,28.99,5.0
garden_tools,281.99,5.0
construction_tools_lights,45.0,5.0
construction_tools_lights,45.0,5.0
construction_tools_lights,45.0,5.0
construction_tools_lights,45.0,5.0
construction_tools_lights,45.0,5.0
construction_tools_lights,45.0,5.0
health_beauty,89.49,5.0
baby,60.0,5.0
pet_shop,49.99,5.0
pet_shop,59.99,5.0
books_technical,93.99,5.0
bed_bath_table,148.9,5.0
toys,119.9,3.0
stationery,119.0,5.0
telephony,48.0,5.0
small_appliances,49.1,4.0
food,66.39,5.0
garden_tools,39.9,4.0
baby,159.99,5.0
furniture_decor,49.9,4.0
sports_leisure,36.9,1.0
watches_gifts,199.0,5.0
books_technical,28.0,5.0
costruction_tools_garden,47.99,5.0
sports_leisure,229.9,5.0
auto,117.3,4.0
bed_bath_table,35.9,5.0
electronics,24.9,5.0
bed_bath_table,359.9,5.0
auto,98.7,5.0
office_furniture,179.9,1.0
home_appliances,99.9,5.0
market_place,62.8,3.0
home_appliances,45.0,2.0
health_beauty,80.0,5.0
baby,109.9,5.0
bed_bath_table,159.0,5.0
agro_industry_and_commerce,410.0,4.0
telephony,37.99,5.0
unknown,110.0,5.0
health_beauty,52.39,5.0
housewares,87.37,4.0
telephony,24.99,5.0
party_supplies,257.6,5.0
computers_accessories,83.0,5.0
home_confort,159.99,3.0
perfumery,179.9,5.0
perfumery,179.9,5.0
cool_stuff,359.5,5.0
cds_dvds_musicals,45.0,4.0
cds_dvds_musicals,45.0,4.0
telephony,679.0,2.0
perfumery,84.99,5.0
perfumery,49.99,4.0
housewares,59.9,4.0
computers_accessories,39.99,3.0
furniture_decor,69.9,2.0
furniture_decor,69.9,2.0
pet_shop,69.9,4.0
furniture_decor,167.0,3.0
housewares,169.49,3.0
stationery,95.0,5.0
auto,27.9,5.0
market_place,289.9,5.0
telephony,189.9,3.0
health_beauty,69.9,5.0
furniture_decor,99.9,5.0
fashion_bags_accessories,49.9,5.0
toys,68.0,4.0
sports_leisure,25.9,5.0
sports_leisure,269.9,3.0
housewares,52.88,5.0
sports_leisure,279.99,5.0
industry_commerce_and_business,102.0,5.0
sports_leisure,28.9,4.0
computers_accessories,12.88,4.0
housewares,129.97,5.0
watches_gifts,96.0,5.0
bed_bath_table,64.99,1.0
baby,428.0,5.0
baby,159.99,5.0
construction_tools_lights,120.0,4.0
bed_bath_table,37.99,5.0
perfumery,155.99,5.0
furniture_decor,69.9,5.0
bed_bath_table,89.9,4.0
bed_bath_table,135.0,5.0
computers_accessories,31.9,5.0
health_beauty,49.99,3.0
perfumery,136.78,5.0
perfumery,117.7,5.0
unknown,22.5,4.0
books_general_interest,129.9,5.0
health_beauty,110.32,1.0
health_beauty,110.32,1.0
sports_leisure,199.9,3.0
fashion_bags_accessories,64.9,5.0
watches_gifts,59.99,5.0
consoles_games,320.0,5.0
computers_accessories,129.0,4.0
furniture_bedroom,9.9,5.0
furniture_decor,359.7,5.0
furniture_decor,359.7,5.0
fashion_bags_accessories,49.99,3.0
garden_tools,48.32,4.0
bed_bath_table,74.9,4.0
construction_tools_safety,65.0,5.0
computers_accessories,17.5,4.0
sports_leisure,38.2,5.0
stationery,68.0,5.0
auto,383.5,4.0
health_beauty,79.9,5.0
bed_bath_table,39.9,5.0
bed_bath_table,39.9,5.0
health_beauty,199.0,5.0
furniture_decor,99.0,2.0
pet_shop,119.9,5.0
fixed_telephony,34.99,5.0
auto,199.0,1.0
watches_gifts,105.0,5.0
sports_leisure,24.9,3.0
bed_bath_table,199.9,5.0
health_beauty,109.9,5.0
health_beauty,109.9,5.0
sports_leisure,119.0,5.0
bed_bath_table,20.0,4.0
drinks,35.0,5.0
kitchen_dining_laundry_garden_furniture,56.9,5.0
pet_shop,60.0,4.0
watches_gifts,178.99,5.0
unknown,122.99,5.0
furniture_decor,94.0,4.0
furniture_decor,70.91,1.0
baby,174.9,5.0
bed_bath_table,109.9,4.0
sports_leisure,59.99,5.0
telephony,12.99,5.0
auto,13.3,5.0
furniture_decor,64.9,5.0
auto,15.9,4.0
sports_leisure,79.97,5.0
health_beauty,79.99,5.0
toys,44.9,5.0
health_beauty,325.0,5.0
bed_bath_table,72.9,5.0
sports_leisure,109.0,4.0
health_beauty,394.65,5.0
health_beauty,34.49,4.0
health_beauty,66.99,5.0
baby,54.9,2.0
watches_gifts,170.0,3.0
books_general_interest,27.9,5.0
fashion_bags_accessories,39.9,5.0
cool_stuff,89.99,5.0
fashion_shoes,84.9,5.0
watches_gifts,34.9,5.0
computers_accessories,16.99,4.0
watches_gifts,49.0,5.0
sports_leisure,119.0,3.0
watches_gifts,219.0,5.0
health_beauty,129.9,3.0
furniture_decor,89.18,5.0
bed_bath_table,89.9,5.0
home_confort,89.9,5.0
stationery,79.0,5.0
baby,115.0,4.0
watches_gifts,844.0,1.0
furniture_decor,299.0,5.0
bed_bath_table,259.9,4.0
sports_leisure,55.9,4.0
furniture_decor,29.9,5.0
baby,174.9,4.0
pet_shop,245.9,1.0
home_construction,217.85,1.0
construction_tools_safety,142.9,1.0
construction_tools_safety,142.9,1.0
home_construction,217.85,1.0
auto,95.9,4.0
auto,95.9,4.0
furniture_decor,49.9,5.0
telephony,39.99,5.0
audio,89.0,5.0
stationery,43.99,3.0
garden_tools,59.9,5.0
stationery,21.5,5.0
health_beauty,139.99,4.0
sports_leisure,99.9,3.0
auto,19.9,4.0
perfumery,39.9,5.0
computers_accessories,52.0,4.0
furniture_decor,159.0,5.0
cool_stuff,132.0,5.0
housewares,139.9,5.0
sports_leisure,135.0,1.0
books_technical,267.0,1.0
bed_bath_table,153.0,5.0
perfumery,84.99,5.0
furniture_decor,59.9,5.0
cool_stuff,129.9,5.0
toys,38.25,5.0
air_conditioning,412.0,5.0
unknown,168.9,4.0
home_appliances_2,1148.0,5.0
baby,35.9,2.0
housewares,55.0,5.0
bed_bath_table,39.0,4.0
sports_leisure,69.9,5.0
computers_accessories,139.5,1.0
computers_accessories,139.5,1.0
toys,69.99,5.0
housewares,24.9,5.0
housewares,75.0,5.0
housewares,18.9,4.0
small_appliances,1099.0,3.0
bed_bath_table,65.9,5.0
computers_accessories,28.9,4.0
computers_accessories,22.32,5.0
watches_gifts,1999.0,5.0
watches_gifts,204.0,1.0
perfumery,69.0,5.0
telephony,249.0,5.0
perfumery,349.9,5.0
computers_accessories,64.99,4.0
toys,185.9,5.0
watches_gifts,154.9,5.0
health_beauty,110.32,5.0
health_beauty,138.9,5.0
housewares,21.15,5.0
sports_leisure,144.9,5.0
stationery,131.0,5.0
bed_bath_table,94.5,5.0
watches_gifts,102.9,5.0
watches_gifts,182.0,5.0
health_beauty,18.0,5.0
cool_stuff,166.99,4.0
telephony,25.99,5.0
telephony,29.99,5.0
cool_stuff,31.99,4.0
computers_accessories,175.0,4.0
computers_accessories,175.0,4.0
sports_leisure,60.0,5.0
sports_leisure,84.94,5.0
furniture_decor,21.9,3.0
furniture_decor,21.9,3.0
furniture_decor,21.9,3.0
health_beauty,89.0,1.0
office_furniture,159.99,4.0
sports_leisure,99.99,5.0
construction_tools_construction,94.5,5.0
sports_leisure,300.0,1.0
furniture_decor,189.9,5.0
bed_bath_table,79.99,5.0
perfumery,65.0,4.0
computers_accessories,75.0,1.0
sports_leisure,109.9,5.0
sports_leisure,68.9,3.0
electronics,59.9,4.0
electronics,59.9,4.0
baby,64.9,5.0
pet_shop,16.9,5.0
construction_tools_construction,112.0,3.0
auto,60.0,5.0
computers_accessories,170.0,5.0
telephony,149.99,1.0
telephony,27.99,3.0
sports_leisure,79.9,4.0
sports_leisure,185.0,5.0
baby,64.89,5.0
computers_accessories,29.99,5.0
auto,179.49,5.0
cool_stuff,59.99,5.0
computers_accessories,25.0,1.0
health_beauty,179.9,5.0
health_beauty,84.99,5.0
housewares,59.9,4.0
computers_accessories,235.92,5.0
computers_accessories,235.92,5.0
stationery,292.0,3.0
bed_bath_table,59.99,1.0
bed_bath_table,59.99,1.0
health_beauty,47.65,5.0
bed_bath_table,89.99,1.0
consoles_games,296.5,4.0
garden_tools,2690.0,1.0
garden_tools,49.9,5.0
luggage_accessories,106.9,5.0
sports_leisure,120.0,1.0
sports_leisure,204.0,1.0
furniture_decor,29.9,4.0
furniture_decor,29.9,4.0
furniture_decor,29.9,4.0
cool_stuff,199.98,1.0
perfumery,56.99,5.0
electronics,19.9,5.0
watches_gifts,99.9,4.0
auto,61.5,5.0
toys,94.9,5.0
toys,99.0,5.0
fashion_bags_accessories,41.3,5.0
health_beauty,160.0,3.0
construction_tools_lights,124.17,5.0
perfumery,56.99,1.0
bed_bath_table,72.0,5.0
furniture_decor,229.0,5.0
baby,50.0,5.0
small_appliances,49.1,4.0
small_appliances,49.1,4.0
furniture_decor,40.0,5.0
health_beauty,132.0,5.0
auto,29.9,3.0
auto,27.9,4.0
housewares,309.99,5.0
watches_gifts,180.0,4.0
sports_leisure,73.9,1.0
consoles_games,355.9,5.0
cool_stuff,359.0,5.0
watches_gifts,119.0,5.0
computers_accessories,12.88,5.0
furniture_decor,49.9,5.0
watches_gifts,29.0,4.0
baby,37.39,1.0
baby,37.39,1.0
musical_instruments,49.0,5.0
auto,108.9,5.0
sports_leisure,85.0,1.0
perfumery,54.99,5.0
sports_leisure,72.0,4.0
telephony,170.0,5.0
telephony,27.99,4.0
fashion_shoes,74.9,5.0
fashion_shoes,74.9,5.0
housewares,49.99,5.0
furniture_decor,42.99,5.0
health_beauty,59.9,3.0
health_beauty,550.0,1.0
garden_tools,59.9,1.0
garden_tools,59.9,1.0
fashion_male_clothing,29.99,1.0
sports_leisure,1695.0,1.0
consoles_games,39.9,5.0
bed_bath_table,279.9,5.0
toys,30.9,5.0
health_beauty,122.99,5.0
health_beauty,19.9,5.0
cine_photo,59.0,5.0
bed_bath_table,153.0,1.0
sports_leisure,21.0,3.0
sports_leisure,35.0,3.0
sports_leisure,21.0,3.0
sports_leisure,35.0,3.0
sports_leisure,28.0,3.0
sports_leisure,28.0,3.0
unknown,29.9,5.0
furniture_decor,380.0,2.0
electronics,89.9,3.0
sports_leisure,28.0,4.0
office_furniture,299.9,5.0
health_beauty,110.32,5.0
auto,35.9,5.0
consoles_games,29.99,5.0
food,56.97,4.0
perfumery,104.9,5.0
watches_gifts,899.99,3.0
computers_accessories,39.9,4.0
health_beauty,27.9,5.0
toys,149.99,5.0
garden_tools,89.0,2.0
garden_tools,89.0,2.0
home_construction,75.9,4.0
health_beauty,59.0,3.0
health_beauty,59.0,3.0
computers_accessories,27.9,3.0
furniture_decor,196.8,5.0
books_general_interest,122.5,5.0
housewares,279.99,3.0
computers_accessories,89.9,5.0
electronics,12.65,5.0
small_appliances,895.0,5.0
telephony,27.9,5.0
toys,69.99,1.0
auto,559.0,5.0
watches_gifts,195.9,4.0
baby,59.9,5.0
bed_bath_table,19.9,5.0
stationery,39.99,4.0
sports_leisure,59.99,4.0
auto,179.9,5.0
sports_leisure,189.0,3.0
bed_bath_table,89.9,3.0
health_beauty,208.0,5.0
computers_accessories,22.0,1.0
small_appliances,179.9,2.0
furniture_decor,159.9,3.0
perfumery,198.0,4.0
musical_instruments,283.02,4.0
consoles_games,24.5,4.0
health_beauty,480.65,4.0
auto,318.98,5.0
electronics,19.9,5.0
auto,80.4,5.0
auto,80.4,5.0
cool_stuff,179.99,4.0
baby,12.9,5.0
small_appliances,1349.0,1.0
bed_bath_table,89.9,5.0
home_confort,89.9,5.0
auto,335.0,3.0
toys,25.0,5.0
telephony,27.99,4.0
unknown,299.9,4.0
electronics,25.9,3.0
books_technical,53.99,4.0
health_beauty,23.9,5.0
furniture_decor,109.9,5.0
stationery,99.0,4.0
computers_accessories,115.52,5.0
pet_shop,41.9,4.0
home_construction,355.79,4.0
housewares,44.9,1.0
pet_shop,88.6,5.0
office_furniture,119.6,4.0
office_furniture,112.99,4.0
office_furniture,112.99,4.0
office_furniture,112.99,4.0
office_furniture,112.99,4.0
office_furniture,112.99,4.0
office_furniture,112.99,4.0
bed_bath_table,39.9,5.0
auto,117.3,5.0
fashion_bags_accessories,32.0,5.0
garden_tools,24.6,4.0
bed_bath_table,79.0,5.0
fashion_bags_accessories,133.0,1.0
watches_gifts,79.0,5.0
food,79.9,5.0
sports_leisure,33.8,1.0
office_furniture,116.99,1.0
baby,49.0,5.0
health_beauty,49.39,5.0
perfumery,243.37,5.0
furniture_decor,249.0,5.0
sports_leisure,119.9,5.0
health_beauty,59.99,4.0
health_beauty,59.99,4.0
housewares,289.0,4.0
sports_leisure,117.0,5.0
luggage_accessories,35.9,5.0
furniture_decor,124.9,1.0
furniture_decor,75.0,5.0
fashion_bags_accessories,49.0,5.0
auto,139.0,5.0
furniture_decor,29.99,5.0
bed_bath_table,159.9,4.0
computers_accessories,85.0,5.0
cool_stuff,129.99,3.0
health_beauty,110.32,5.0
health_beauty,119.9,1.0
health_beauty,34.9,3.0
electronics,14.6,5.0
bed_bath_table,89.9,5.0
fixed_telephony,125.0,1.0
fixed_telephony,125.0,1.0
fixed_telephony,125.0,1.0
fixed_telephony,125.0,1.0
fixed_telephony,125.0,1.0
toys,219.99,4.0
kitchen_dining_laundry_garden_furniture,74.9,5.0
office_furniture,259.9,4.0
office_furniture,259.9,4.0
telephony,75.0,5.0
bed_bath_table,127.5,5.0
furniture_decor,45.0,1.0
furniture_decor,45.0,1.0
furniture_decor,45.0,1.0
furniture_decor,45.0,1.0
furniture_decor,45.0,1.0
housewares,119.9,5.0
auto,109.8,3.0
health_beauty,73.9,5.0
home_confort,599.0,5.0
health_beauty,19.9,5.0
perfumery,19.9,3.0
furniture_decor,7.8,4.0
bed_bath_table,205.0,5.0
furniture_decor,59.9,3.0
construction_tools_lights,120.0,3.0
bed_bath_table,45.95,5.0
computers_accessories,419.0,4.0
watches_gifts,599.0,1.0
housewares,27.9,5.0
housewares,27.9,5.0
luggage_accessories,189.9,5.0
furniture_living_room,13.9,5.0
garden_tools,59.9,3.0
garden_tools,59.9,3.0
garden_tools,59.9,3.0
toys,109.9,5.0
sports_leisure,43.0,5.0
watches_gifts,33.5,1.0
toys,54.99,5.0
computers_accessories,49.99,5.0
toys,149.9,5.0
bed_bath_table,149.9,5.0
auto,29.9,5.0
office_furniture,112.94,4.0
telephony,45.0,5.0
computers_accessories,293.5,4.0
bed_bath_table,44.9,3.0
bed_bath_table,149.9,5.0
health_beauty,59.9,3.0
bed_bath_table,199.9,3.0
sports_leisure,107.9,5.0
computers_accessories,8.99,1.0
computers_accessories,8.99,1.0
cool_stuff,22.9,1.0
computers_accessories,8.99,1.0
home_construction,29.95,1.0
computers_accessories,79.9,4.0
garden_tools,59.0,1.0
home_construction,37.95,1.0
sports_leisure,109.9,5.0
housewares,23.9,5.0
baby,39.9,5.0
bed_bath_table,29.99,3.0
toys,699.9,5.0
furniture_decor,69.9,1.0
housewares,89.18,4.0
bed_bath_table,56.1,5.0
telephony,21.99,5.0
housewares,22.9,5.0
watches_gifts,89.0,5.0
health_beauty,38.99,4.0
industry_commerce_and_business,55.0,5.0
stationery,79.0,5.0
cool_stuff,35.0,3.0
telephony,14.0,4.0
cool_stuff,46.9,5.0
sports_leisure,229.9,4.0
construction_tools_safety,109.0,5.0
bed_bath_table,149.9,1.0
home_confort,219.0,5.0
auto,37.9,5.0
bed_bath_table,69.9,5.0
sports_leisure,69.9,1.0
office_furniture,86.96,5.0
office_furniture,86.96,5.0
toys,69.9,5.0
perfumery,56.99,1.0
bed_bath_table,53.0,5.0
bed_bath_table,59.9,5.0
computers_accessories,89.9,1.0
furniture_decor,64.9,5.0
health_beauty,26.9,5.0
sports_leisure,148.0,5.0
bed_bath_table,89.9,5.0
food,18.99,4.0
furniture_decor,69.9,5.0
health_beauty,109.9,1.0
computers_accessories,61.9,3.0
telephony,18.99,2.0
health_beauty,160.0,5.0
electronics,243.0,1.0
food,19.3,5.0
sports_leisure,72.5,5.0
sports_leisure,72.5,5.0
telephony,37.99,4.0
books_general_interest,8.9,4.0
books_general_interest,8.9,4.0
sports_leisure,45.0,5.0
sports_leisure,45.0,5.0
perfumery,96.0,5.0
baby,94.99,5.0
telephony,51.9,5.0
auto,30.0,5.0
stationery,38.0,1.0
musical_instruments,199.99,5.0
bed_bath_table,138.0,4.0
bed_bath_table,138.0,4.0
bed_bath_table,138.0,4.0
watches_gifts,110.0,4.0
bed_bath_table,49.9,5.0
consoles_games,39.9,5.0
health_beauty,329.99,4.0
sports_leisure,299.0,5.0
bed_bath_table,85.0,5.0
garden_tools,28.0,1.0
drinks,19.3,5.0
drinks,19.3,5.0
drinks,19.3,5.0
drinks,19.3,5.0
garden_tools,94.98,4.0
office_furniture,149.99,4.0
bed_bath_table,153.0,1.0
bed_bath_table,77.0,1.0
perfumery,117.7,5.0
watches_gifts,329.9,5.0
unknown,122.99,5.0
electronics,51.0,5.0
auto,59.9,4.0
electronics,13.65,4.0
health_beauty,159.9,3.0
toys,69.99,3.0
watches_gifts,19.9,3.0
housewares,120.0,3.0
sports_leisure,95.0,5.0
toys,799.9,5.0
health_beauty,149.65,5.0
sports_leisure,67.9,5.0
musical_instruments,247.88,5.0
computers_accessories,74.9,5.0
garden_tools,328.9,5.0
bed_bath_table,89.9,5.0
cool_stuff,119.99,4.0
toys,82.0,5.0
watches_gifts,49.0,5.0
watches_gifts,55.0,5.0
furniture_decor,150.0,5.0
construction_tools_lights,228.0,4.0
furniture_decor,90.0,4.0
bed_bath_table,24.9,3.0
housewares,19.9,4.0
health_beauty,399.0,5.0
baby,130.0,5.0
baby,110.0,5.0
auto,294.9,1.0
unknown,39.9,5.0
furniture_decor,29.99,3.0
cool_stuff,485.0,1.0
cool_stuff,485.0,1.0
bed_bath_table,110.0,5.0
furniture_decor,99.9,5.0
bed_bath_table,24.9,4.0
health_beauty,31.19,4.0
health_beauty,35.99,4.0
health_beauty,14.9,4.0
health_beauty,31.9,4.0
health_beauty,22.9,4.0
health_beauty,22.9,4.0
sports_leisure,115.0,4.0
housewares,169.9,4.0
stationery,49.99,4.0
bed_bath_table,135.0,5.0
market_place,59.99,1.0
stationery,25.89,5.0
baby,94.95,5.0
health_beauty,636.0,3.0
perfumery,53.99,4.0
furniture_decor,39.9,1.0
electronics,21.9,4.0
luggage_accessories,89.9,5.0
sports_leisure,72.0,5.0
fashion_bags_accessories,97.0,5.0
pet_shop,63.99,2.0
art,110.99,2.0
furniture_living_room,68.0,4.0
construction_tools_safety,40.8,4.0
bed_bath_table,56.99,1.0
fixed_telephony,19.99,5.0
sports_leisure,26.33,5.0
auto,67.99,5.0
health_beauty,123.47,4.0
sports_leisure,143.99,3.0
electronics,18.9,5.0
health_beauty,120.0,4.0
health_beauty,6.0,4.0
auto,25.9,5.0
auto,25.9,5.0
computers_accessories,99.0,4.0
pet_shop,32.64,5.0
furniture_decor,69.9,2.0
toys,69.9,1.0
fashion_bags_accessories,28.7,4.0
office_furniture,129.0,1.0
health_beauty,140.0,4.0
bed_bath_table,37.99,1.0
toys,299.99,5.0
furniture_decor,44.99,4.0
home_appliances_2,89.99,5.0
health_beauty,58.99,5.0
consoles_games,45.0,3.0
auto,75.0,4.0
cine_photo,59.9,5.0
telephony,29.99,1.0
pet_shop,798.0,5.0
telephony,49.99,5.0
cool_stuff,99.99,1.0
computers_accessories,172.5,1.0
office_furniture,129.96,5.0
housewares,108.9,1.0
sports_leisure,119.9,1.0
sports_leisure,14.99,5.0
furniture_decor,45.99,5.0
bed_bath_table,149.99,4.0
office_furniture,79.98,3.0
bed_bath_table,110.0,5.0
bed_bath_table,110.0,5.0
health_beauty,99.9,1.0
bed_bath_table,69.9,5.0
bed_bath_table,219.99,5.0
baby,27.9,4.0
bed_bath_table,149.9,5.0
bed_bath_table,89.9,5.0
bed_bath_table,89.9,5.0
health_beauty,89.99,1.0
telephony,199.0,5.0
health_beauty,39.99,5.0
telephony,18.99,5.0
home_appliances_2,380.0,4.0
health_beauty,122.99,5.0
luggage_accessories,130.0,5.0
computers_accessories,89.49,3.0
sports_leisure,99.0,5.0
sports_leisure,99.0,5.0
computers_accessories,119.99,5.0
furniture_decor,99.0,1.0
perfumery,13.99,5.0
perfumery,13.99,5.0
fashion_bags_accessories,29.0,5.0
telephony,12.98,5.0
sports_leisure,37.99,3.0
furniture_decor,89.9,5.0
housewares,295.0,5.0
sports_leisure,1599.0,1.0
perfumery,81.35,5.0
electronics,12.9,5.0
health_beauty,56.99,4.0
computers_accessories,79.9,5.0
sports_leisure,169.99,1.0
sports_leisure,169.99,1.0
sports_leisure,169.99,1.0
sports_leisure,169.99,1.0
furniture_decor,89.9,5.0
fashion_shoes,29.9,5.0
baby,50.0,5.0
health_beauty,149.99,4.0
sports_leisure,109.99,5.0
sports_leisure,79.0,3.0
home_construction,75.9,1.0
computers_accessories,119.0,3.0
computers_accessories,119.0,3.0
sports_leisure,34.5,4.0
garden_tools,44.9,5.0
office_furniture,114.94,5.0
baby,388.0,5.0
sports_leisure,107.0,4.0
furniture_decor,320.0,4.0
sports_leisure,110.0,5.0
telephony,199.0,5.0
health_beauty,132.9,5.0
computers_accessories,99.99,1.0
housewares,14.5,3.0
auto,39.9,3.0
computers_accessories,24.9,3.0
bed_bath_table,34.9,2.5
bed_bath_table,34.9,2.5
fashion_male_clothing,24.9,5.0
costruction_tools_garden,32.7,5.0
perfumery,249.49,5.0
auto,104.71,1.0
auto,104.71,1.0
market_place,189.9,5.0
telephony,12.5,3.0
garden_tools,14.39,2.0
christmas_supplies,57.0,5.0
bed_bath_table,228.0,5.0
musical_instruments,139.0,5.0
toys,139.99,5.0
home_confort,599.0,3.0
electronics,11.5,5.0
audio,89.9,4.0
sports_leisure,44.99,5.0
auto,109.9,3.0
baby,90.9,5.0
furniture_decor,46.99,5.0
bed_bath_table,134.9,4.0
sports_leisure,33.0,5.0
stationery,89.0,5.0
sports_leisure,67.0,5.0
health_beauty,64.99,4.0
stationery,129.0,4.0
furniture_decor,84.9,2.0
cool_stuff,91.99,5.0
sports_leisure,119.9,4.0
health_beauty,208.9,4.0
computers_accessories,119.0,1.0
baby,115.0,4.0
health_beauty,155.0,5.0
health_beauty,64.9,3.0
computers_accessories,299.0,5.0
bed_bath_table,54.9,5.0
telephony,16.5,5.0
food_drink,58.32,4.0
telephony,299.0,4.0
furniture_decor,119.9,5.0
electronics,19.9,5.0
construction_tools_safety,112.01,4.0
garden_tools,36.0,5.0
sports_leisure,12.5,5.0
garden_tools,34.9,5.0
cool_stuff,99.99,4.0
bed_bath_table,45.95,4.0
garden_tools,99.9,5.0
musical_instruments,28.0,5.0
watches_gifts,118.9,5.0
health_beauty,1045.0,5.0
furniture_decor,69.9,5.0
bed_bath_table,62.0,5.0
bed_bath_table,62.0,5.0
bed_bath_table,62.0,5.0
bed_bath_table,62.0,5.0
housewares,23.9,5.0
watches_gifts,359.0,5.0
fashion_underwear_beach,49.9,5.0
health_beauty,76.49,4.0
health_beauty,23.99,5.0
watches_gifts,77.0,2.0
health_beauty,29.9,4.0
auto,159.0,5.0
sports_leisure,159.0,1.0
health_beauty,49.9,5.0
tablets_printing_image,69.9,5.0
